"Test Suite","Test Case","Test Step","Step Type","Step Status","Result message","Execution Date"
"CustomerRepositoryFunctionalTesting","PropertyExpansion","Email First and Last Name Properties","properties","OK","","24-May-2021 11_49",
"CustomerRepositoryFunctionalTesting","PropertyExpansion","Create Customer","request","OK","","24-May-2021 11_49",
"CustomerRepositoryFunctionalTesting","PropertyExpansion","Get List","request","OK","","24-May-2021 11_49",
"CustomerRepositoryFunctionalTesting","PropertyExpansion","Groovy Script","groovy","OK","","24-May-2021 11_49",
"CustomerRepositoryFunctionalTesting","PropertyExpansion","Create Customer","request","OK","","24-May-2021 11_49",
"CustomerRepositoryFunctionalTesting","PropertyExpansion","Get List","request","OK","","24-May-2021 11_49",
"CustomerRepositoryFunctionalTesting","PropertyExpansion","Groovy Script","groovy","OK","","24-May-2021 11_49",
"CustomerRepositoryFunctionalTesting","PropertyExpansion","Create Customer","request","OK","","24-May-2021 11_49",
"CustomerRepositoryFunctionalTesting","PropertyExpansion","Get List","request","OK","","24-May-2021 11_49",
"CustomerRepositoryFunctionalTesting","PropertyExpansion","Groovy Script","groovy","OK","","24-May-2021 11_49",
"CustomerRepositoryFunctionalTesting","PropertyExpansion","Create Customer","request","OK","","24-May-2021 11_49",
"CustomerRepositoryFunctionalTesting","PropertyExpansion","Get List","request","OK","","24-May-2021 11_49",
"CustomerRepositoryFunctionalTesting","PropertyExpansion","Groovy Script","groovy","OK","","24-May-2021 11_49",
"CustomerRepositoryFunctionalTesting","PropertyExpansion","Create Customer","request","OK","","24-May-2021 11_49",
"CustomerRepositoryFunctionalTesting","PropertyExpansion","Get List","request","OK","","24-May-2021 11_49",
"CustomerRepositoryFunctionalTesting","PropertyExpansion","Groovy Script","groovy","OK","","24-May-2021 11_49",
"CustomerRepositoryFunctionalTesting","PropertyExpansion","Create Customer","request","OK","","24-May-2021 11_49",
"CustomerRepositoryFunctionalTesting","PropertyExpansion","Get List","request","OK","","24-May-2021 11_49",
"CustomerRepositoryFunctionalTesting","PropertyExpansion","Groovy Script","groovy","OK","","24-May-2021 11_49",
"CustomerRepositoryFunctionalTesting","PropertyExpansion","Create Customer","request","OK","","24-May-2021 11_49",
"CustomerRepositoryFunctionalTesting","PropertyExpansion","Get List","request","OK","","24-May-2021 11_49",
"CustomerRepositoryFunctionalTesting","PropertyExpansion","Groovy Script","groovy","OK","","24-May-2021 11_49",
"CustomerRepositoryFunctionalTesting","PropertyExpansion","Create Customer","request","OK","","24-May-2021 11_49",
"CustomerRepositoryFunctionalTesting","PropertyExpansion","Get List","request","OK","","24-May-2021 11_49",
"CustomerRepositoryFunctionalTesting","PropertyExpansion","Groovy Script","groovy","OK","","24-May-2021 11_49",
"CustomerRepositoryFunctionalTesting","PropertyExpansion","Create Customer","request","FAILED","Message:[SOAP Response] error: The markup in the document following the root element must be well-formed.
Message:[SOAP Response] The markup in the document following the root element must be well-formed.
Message:[Schema Compliance] error: The markup in the document following the root element must be well-formed.
Message:[Schema Compliance] The markup in the document following the root element must be well-formed.
","24-May-2021 11_49",
